EkspertizAI — Ekspertiz İstasyon Veri Giriş Tablosu,,,,,,,,,,,,,,,,,,,
"⚠ Sarı alanlar zorunludur. | Google Rating: Google Maps puanı (1-5) | Sponsor Seviyesi: 0=Ücretsiz, 1=Basic (500₺/ay), 2=Premium (1000₺/ay)",,,,,,,,,,,,,,,,,,,
Ad *,Franchise,İl *,İlçe *,Adres,Telefon *,Telefon 2,E-posta,Website,Google Maps URL,Google Rating,Enlem,Boylam,"Aktif mi?
(EVET/HAYIR)","Sponsorlu mu?
(EVET/HAYIR)","Sponsor
Seviyesi
(0/1/2)","Sponsor
Başlangıç
(GG.AA.YYYY)","Sponsor
Bitiş
(GG.AA.YYYY)",Notlar,"Google
Place ID"
Adana Sarıçam güven ekspertiz,Bağımsız,Adana,Sarıçam,"2930 701, Yıldırım Beyazıt, Kozan Cad., 01250 Sarıçam/Adana, Türkiye",,,,,https://maps.google.com/?cid=18049936460186972365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
AZKAOtoEkspertiz,OtoEksper,Adana,Sarıçam,"YENİ MAH. 4398 SK. ADANA OTO CENTER D BLOK NO: 26 B Sarıçam/Adana YENİ MAH. 4398 SK. ADANA OTO CENTER D BLOK NO: 26 B, Yeni, 01340 Sarıçam/Adana, Türkiye",0552 513 11 51,,,,https://maps.google.com/?cid=10392235383237021986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
RS ADANA OTOCENTER OTO EKSPERTİZ,Bağımsız,Adana,Seyhan,"Yeşiloba, 46120. Sk. NO:29/A, 01210 Seyhan/Adana, Türkiye",0850 480 3192,,,,https://maps.google.com/?cid=6431568465851357147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
OCCO Ekspertiz - Adana Seyhan Bayi,Bağımsız,Adana,Seyhan,"Onur, Turhan Cemal Beriker Blv. Kiza İş Merkezi 3A A2 Blok No:437, 01100 Seyhan/Adana, Türkiye",0540 947 47 01,,,,https://maps.google.com/?cid=16087518215965225329&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Carwizz Oto Ekspertiz Adana Seyhan,Bağımsız,Adana,Seyhan,"Şakirpaşa, Turhan Cemal Beriker Blv. No:257/A, 01080 Seyhan/Adana, Türkiye",(0322) 432 70 01,,,,https://maps.google.com/?cid=7596668501947074847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Yüreğir Oto Ekspertiz 360,Bağımsız,Adana,Yüreğir,"Karacaoğlan, İlim Yolu Bul No.38/A, 01240 Yüreğir/Adana, Türkiye",0539 447 85 25,,,,https://maps.google.com/?cid=2333056419867368642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
IŞIK OTO EKSPERTİZ,Bağımsız,Adana,Yüreğir,"Ptt evleri mah, Kozan Cad. no 549/A, 01220 Yüreğir/Adana, Türkiye",0533 155 02 62,,,,https://maps.google.com/?cid=12065952662685332975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Carwizz Oto Ekspertiz Adana Yüreğir,Bağımsız,Adana,Yüreğir,"Yenidoğan, Girne Blv. No: 253/A, 01263 Yüreğir/Adana, Türkiye",(0322) 346 77 73,,,,https://maps.google.com/?cid=6354255940814510208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
OCCO Ekspertiz - Adana Yüreğir Bayi,Bağımsız,Adana,Yüreğir,"Sinanpaşa, Girne Blv. No: 14/A, 01220 Yüreğir/Adana, Türkiye",0850 346 6226,,,,https://maps.google.com/?cid=13312179199318595900&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Yüreğir/Adana,Arabam.com Oto Ekspertiz,Adana,Yüreğir,"Kiremithane, Kozan Cad. No:422/A, 01285 Yüreğir/Adana, Türkiye",,,,,https://maps.google.com/?cid=10906817991324234346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Auto King Oto Ekspertiz - Adana Yüreğir,Auto King,Adana,Yüreğir,"Yenidoğan, Girne Blv. No:253A, 01263 Yüreğir/Adana, Türkiye",0549 429 25 24,,,,https://maps.google.com/?cid=15109903624732377068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Yamanlar Oto Ekspertiz Sarıçam,Bağımsız,Adana,Sarıçam,"Yeni, Girne Blv. 6226 sok No:16, 01340 Sarıçam/Adana, Türkiye",0547 233 01 01,,,,https://maps.google.com/?cid=6334329363868079954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Pilot Garage Adana Yüreğir Oto Ekspertiz,Pilot Garage,Adana,Sarıçam,"Yeni, 6226 Sk No:28 KAT:0, 01260 Sarıçam/Adana, Türkiye",0501 567 42 01,,,,https://maps.google.com/?cid=17771351662287876986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
VIP ARABAM OTO EKSPERTİZ,Bağımsız,Adana,Seyhan,"Yeşiloba, 46120. Sk. No:79 D:1A, 01100 Seyhan/Adana, Türkiye",0552 722 33 93,,,,https://maps.google.com/?cid=6264606979473397299&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Nova Garage Oto Ekspertiz – Adana Seyhan,Bağımsız,Adana,Seyhan,"Kiza iş merkezi, Onur, Tekel Cd. kiza iş merkezi B/1 Blok, 01100 Seyhan/Adana, Türkiye",(0322) 321 21 01,,,,https://maps.google.com/?cid=18220831255965123220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Auto Kale Oto Ekspertiz - Adana Seyhan,Auto Kale,Adana,Seyhan,"Adana Otogarı karşısı, OPET PETROL yanı, Onur, Turhan Cemal Beriker Blv. 427/1, 01040 Seyhan/Adana, Türkiye",0544 404 22 01,,,,https://maps.google.com/?cid=1749818174021393360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Prime Computest Seyhan Kurumsal Oto Ekspertiz Merkezi,Computest,Adana,Seyhan,"Pınar, 74065. Sk. No:3/1, 01160 Seyhan/Adana, Türkiye",0544 570 97 21,,,,https://maps.google.com/?cid=16473501814293727187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dizman Garanti Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Demetevler, Ray Sk. No:354, 01355 Seyhan/Adana, Türkiye",0530 252 43 23,,,,https://maps.google.com/?cid=8378136848453200903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Özcan Garage - Dynomax Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Gürselpaşa, 75545 sok no:14 B, 01200 Seyhan/Adana, Türkiye",0542 150 58 01,,,,https://maps.google.com/?cid=4059633558847062156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dynobil Adana Otocenter Oto Ekspertiz,Dynobil,Adana,Seyhan,"Otocenter arka giriş tren hattında 20. notere 300 metre mesafe, Yeşiloba, 46012. Sk. No:34 D:1A, 01190 Seyhan/Adana, Türkiye",0554 990 29 99,,,,https://maps.google.com/?cid=13601845663832992629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Baraj Yolu/Adana,Arabam.com Oto Ekspertiz,Adana,Seyhan,"Hastaneler Kavşağı, Sümer, Baraj Cad. Apt. No:83, 01120 Seyhan/Adana, Türkiye",0850 759 9000,,,,https://maps.google.com/?cid=6967683720747784828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Seyhan Oto Ekspertiz | Adana | Experix,Bağımsız,Adana,Seyhan,"Namık Kemal, Mücahitler Cd. 96/A, 01140 Seyhan/Adana, Türkiye",0543 402 55 22,,,,https://maps.google.com/?cid=378808962939145753&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz - Adana Yetsan,Bağımsız,Adana,Seyhan,"Fevzipaşa, Vefa Cad. No:35/A, 01190 Seyhan/Adana, Türkiye",0551 727 01 01,,,,https://maps.google.com/?cid=14989297130888217668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz Adana Sarıçam,Bağımsız,Adana,Sarıçam,"Yeni, 6226 Sokak No:10, 01340 Sarıçam/Adana, Türkiye",0551 106 93 97,,,,https://maps.google.com/?cid=384271916567525439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
D Expert Adana Oto Ekspertiz Merkezi,Bağımsız,Adana,Seyhan,"Şakirpaşa, Turhan Cemal Beriker Blv. No:205/A, 01080 Seyhan/Adana, Türkiye",(0322) 436 10 36,,,,https://maps.google.com/?cid=9938989191789281328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Pilot Garage Otonomi Merkez Oto Ekspertiz Ankara,Pilot Garage,Ankara,Akyurt,"Balıkhisar Özal Bulvarı No: 351/26 G2 Blok, Servis Bloğu, Balıkhisar, No: 14, 06750 Akyurt/Ankara, Türkiye",0501 592 90 91,,,,https://maps.google.com/?cid=1013204575973852540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Otorapor Ankara Otonomi Oto Ekspertiz,Otorapor,Ankara,Akyurt,"Saracalar Mah. Özal Bulvarı G2 Blok No:15, Balıkhisar, Otonomi, 06750 Akyurt/Ankara, Türkiye",(0312) 338 71 71,,,,https://maps.google.com/?cid=14943468345802224171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,8",,,EVET,HAYIR,0,,,,
RS Ankara Akyurt Otonomi Oto Ekspertiz,Bağımsız,Ankara,Akyurt,"Balıkhisar, Özal Bulvarı No:351/26, 06750 Akyurt/Ankara, Türkiye",0850 480 3619,,,,https://maps.google.com/?cid=16806544676374042094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz Esenboğa - Otonomi,Bağımsız,Ankara,Akyurt,"Saracalar, Özal Bulvarı NO:200/1, 06750 Akyurt/Ankara, Türkiye",0505 601 06 00,,,,https://maps.google.com/?cid=18041670872137435024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Prestij Oto Ekspertiz,Bağımsız,Ankara,Akyurt,"Otonomi, BP Petrol içi, Balıkhisar, Özal Bulvarı No:357-B, 06750 Akyurt/Ankara, Türkiye",0532 561 99 93,,,,https://maps.google.com/?cid=2913144949485213954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
